clientid,region,branch,client_gender,income,vehicle_production_year,vehicle_initial_assessment_value,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_initial_amount,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,client_type,ratio
63,region 6,branch 5,male,1200,2002,11520,35.0,0,0,leaseback,72,9120,0.791666666666667,36.4307250859846,3.374,default,0.416666666666667
64,region 8,branch 6,male,960,2004,8160,23.0,0,0,leaseback,90,4800,0.588235294117647,36.7940609697208,3.374,default,0.416666666666667
65,region 6,branch 3,female,1200,2004,6720,26.0,0,0,leaseback,36,4800,0.714285714285714,37.2011148953622,3.374,default,0.416666666666667
66,region 6,branch 3,female,960,2007,24000,41.0,0,0,leaseback,36,7200,0.3,38.9804018326918,3.374,default,0.416666666666667
67,Unknown,branch 5,male,1200,2003,6240,29.0,1,0,leaseback,54,4992,0.8,35.8785753448643,3.374,default,0.416666666666667
68,Unknown,branch 6,male,2880,2015,31200,58.0,1,0,leaseback,36,13920,0.446153846153846,27.5502111913462,2.5305,default,0.416666666666667
69,region 7,branch 7,male,1008,1996,6240,27.0,0,0,leaseback,54,2400,0.384615384615385,36.868270867112,3.374,default,0.388888888888889
70,region 2,branch 3,male,960,2000,9600,37.0,0,0,leasing,108,8160,0.85,35.256481860393,3.374,default,0.388888888888889
71,Unknown,branch 3,male,0,1998,8640,41.0,0,0,leaseback,54,2400,0.277777777777778,35.8444268849852,3.374,default,0.388888888888889
72,region 6,branch 5,female,1200,2002,9120,31.0,0,0,leaseback,90,4800,0.526315789473684,35.9609302359152,3.374,default,0.383333333333333
73,region 6,branch 3,female,1200,2011,20640,31.0,0,0,leasing,90,15360,0.744186046511628,36.7862940332697,3.374,default,0.383333333333333
74,region 6,branch 5,male,1440,1995,6240,34.0,0,0,leaseback,36,4800,0.769230769230769,37.2011148953622,3.374,default,0.375
75,region 6,branch 5,male,1920,2007,7200,26.0,1,0,leaseback,36,4800,0.666666666666667,28.8183125094825,2.5305,default,0.375
76,region 6,branch 5,male,864,2000,5760,25.0,0,0,leaseback,36,3360,0.583333333333333,36.0510489741926,3.374,default,0.375
77,region 6,branch 3,male,1200,2004,13195,25.0,0,0,leaseback,54,7200,0.545669958095712,36.134930310313,3.374,default,0.361111111111111
78,region 6,branch 5,female,0,2000,8640,31.0,0,0,leaseback,54,6912,0.8,34.2554542539864,3.374,default,0.333333333333333
79,region 5,branch 6,male,720,2003,4608,25.0,0,0,leaseback,54,3456,0.75,37.4986225907605,3.374,default,0.333333333333333
80,region 5,branch 5,male,0,1996,4800,28.0,0,0,leaseback,54,3840,0.8,37.7930201623705,3.374,default,0.333333333333333
81,region 6,branch 5,male,1200,2006,24000,40.0,0,0,leaseback,90,19200,0.8,35.1377800204564,3.374,default,0.333333333333333
82,region 6,branch 3,male,1920,1997,5040,60.0,0,0,leaseback,90,3360,0.666666666666667,36.9240342462691,3.374,default,0.333333333333333
83,region 6,branch 2,male,0,1998,3840,37.0,0,1,leaseback,36,1920,0.5,38.250021307789,3.374,default,0.333333333333333
84,region 6,branch 3,male,1200,2002,10560,63.0,0,0,leaseback,54,8400,0.795454545454545,37.7836877139881,3.374,default,0.333333333333333
85,region 6,branch 3,male,1440,2005,9120,26.0,0,0,leaseback,54,2880,0.315789473684211,36.9166781267404,3.374,default,0.333333333333333
86,region 8,branch 3,female,4800,2003,62400,29.0,0,0,leaseback,54,24000,0.384615384615385,36.9843712017558,3.374,default,0.333333333333333
87,Unknown,branch 3,male,1440,2006,11520,47.0,1,0,leaseback,54,5760,0.5,36.7782127865833,3.374,default,0.333333333333333
88,Unknown,branch 6,female,0,2006,13920,29.0,0,0,leaseback,36,7200,0.517241379310345,37.9729901446924,3.374,default,0.333333333333333
89,Unknown,branch 3,male,1080,2011,11520,25.0,0,0,leaseback,54,8880,0.770833333333333,36.2162272004469,3.374,default,0.333333333333333
90,region 5,branch 5,female,0,1996,7200,34.0,0,0,leaseback,72,5760,0.8,35.1317591959893,3.374,default,0.3125
91,region 3,branch 5,male,1200,1996,7680,39.0,0,0,leasing,72,6000,0.78125,36.1275575341144,3.374,default,0.3125
92,region 8,branch 3,male,960,2006,9600,40.0,0,0,leaseback,72,4800,0.5,36.8403700267599,3.374,default,0.3125
93,region 6,branch 2,male,0,2007,8640,27.0,0,0,leasing,54,7200,0.833333333333333,36.8541939681369,3.374,default,0.305555555555556
94,region 6,branch 3,male,1440,2003,19200,39.0,0,0,leaseback,54,9600,0.5,37.0344450825222,3.374,default,0.305555555555556
95,region 6,branch 3,male,1440,1998,6720,25.0,0,0,leaseback,54,3600,0.535714285714286,36.2436886857973,3.374,default,0.305555555555556
96,region 6,branch 3,male,960,2002,13968,32.0,0,0,leaseback,90,10080,0.721649484536082,34.5903261642579,3.374,default,0.3
97,region 9,branch 4,male,864,1995,7200,26.0,0,0,leasing,90,5760,0.8,36.6968293387955,3.374,default,0.283333333333333
98,region 6,branch 3,male,2160,2012,26400,31.0,0,0,leaseback,90,16800,0.636363636363636,35.7274278110611,3.374,default,0.283333333333333
99,region 6,branch 3,male,1200,2004,14400,60.0,0,0,leaseback,90,8160,0.566666666666667,35.1045605188281,3.374,default,0.283333333333333
100,Unknown,branch 5,male,0,2003,8160,26.0,0,0,leaseback,90,6480,0.794117647058823,36.2297168817919,3.374,default,0.283333333333333
101,region 6,branch 6,female,1440,2008,7680,38.0,0,0,leaseback,54,4560,0.59375,35.7923652759769,3.374,default,0.277777777777778
102,region 6,branch 5,male,874,2006,7440,45.0,0,0,leaseback,54,6000,0.806451612903226,37.8226849762241,3.374,default,0.277777777777778
103,Unknown,branch 3,male,0,2004,14400,41.0,0,0,leaseback,54,7200,0.5,36.8541939681369,3.374,default,0.277777777777778
104,region 2,branch 3,male,1680,1997,8880,62.0,0,0,leaseback,72,5760,0.648648648648649,36.3019787594013,3.374,default,0.270833333333333
105,region 6,branch 3,male,4800,2011,24000,42.0,0,0,leaseback,90,28800,1.2,36.1605756006657,3.374,default,0.266666666666667
106,region 6,branch 3,male,1440,2008,25440,62.0,0,0,leasing,90,12480,0.490566037735849,35.8875532688512,3.374,default,0.266666666666667
107,region 6,branch 3,male,1920,1998,10560,32.0,0,0,leaseback,90,6720,0.636363636363636,35.9268416921808,3.374,default,0.266666666666667
108,Unknown,branch 3,male,0,2009,13874,25.0,0,0,leasing,90,10080,0.726531775571248,36.1226876206645,3.374,default,0.266666666666667
109,region 4,branch 3,male,538,2005,13920,25.0,0,0,leaseback,108,7680,0.551724137931034,35.394346108687,3.374,default,0.25
110,region 2,branch 2,male,0,2005,9600,36.0,0,0,leaseback,54,6720,0.7,34.1620176686485,3.374,default,0.25
111,region 6,branch 5,male,1440,1997,9600,46.0,0,0,leaseback,90,5280,0.55,35.0693746166882,3.374,default,0.25
112,region 5,branch 5,female,0,1996,2880,27.0,0,0,leaseback,36,1680,0.583333333333333,37.0577870091583,3.374,default,0.25
113,region 6,branch 5,male,960,2015,24000,28.0,0,0,leaseback,36,4800,0.2,36.7828208064973,3.374,default,0.25
114,region 6,branch 5,male,672,2010,46080,72.0,0,0,leaseback,36,5760,0.125,37.5854670214321,3.374,default,0.25
115,region 5,branch 3,male,2400,2004,24960,36.0,0,0,leaseback,36,14400,0.576923076923077,37.7550240643989,3.374,default,0.25
116,region 6,branch 3,female,864,2006,12000,27.0,1,0,leaseback,72,9600,0.8,36.7710561438014,3.374,default,0.229166666666667
117,region 6,branch 3,male,1440,1998,10080,39.0,0,0,leaseback,72,4800,0.476190476190476,35.4008760850984,3.374,default,0.229166666666667
118,region 6,branch 6,female,0,1999,5280,33.0,0,0,leasing,108,4272,0.809090909090909,35.4479641094677,3.374,default,0.222222222222222
119,region 3,branch 3,male,1440,2002,7200,37.0,0,0,leaseback,54,3840,0.533333333333333,35.4228113321043,3.374,default,0.222222222222222
120,region 6,branch 3,male,0,2001,8640,49.0,0,0,leaseback,54,5280,0.611111111111111,37.52303052354,3.374,default,0.222222222222222
121,region 6,branch 3,male,1440,2003,6720,42.0,0,0,leaseback,54,3840,0.571428571428571,37.7930201623705,3.374,default,0.222222222222222
122,region 6,branch 3,male,0,2001,7680,26.0,0,0,leaseback,90,5760,0.75,35.4240314451517,3.374,default,0.216666666666667
123,region 3,branch 5,male,0,2006,11520,25.0,0,0,leaseback,90,5760,0.5,36.0905579075691,3.374,default,0.216666666666667
124,region 2,branch 3,female,1440,2005,19440,28.0,0,0,leasing,90,16320,0.839506172839506,37.0931346686811,3.374,default,0.216666666666667
125,region 6,branch 3,male,720,1999,8160,57.0,0,0,leaseback,90,3840,0.470588235294118,36.979240256198,3.374,default,0.216666666666667
126,Unknown,branch 3,male,0,2005,6576,34.0,0,0,leaseback,90,5280,0.802919708029197,35.2142029680018,3.374,default,0.216666666666667
127,region 6,branch 5,male,528,2001,10080,23.0,0,1,leasing,72,7680,0.761904761904762,36.6158356981512,3.374,default,0.208333333333333
