client_gender,vehicle_production_year,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region_region 1,region_region 10,region_region 11,region_region 12,region_region 2,region_region 3,region_region 4,region_region 5,region_region 6,region_region 7,region_region 8,region_region 9,branch_branch 2,branch_branch 3,branch_branch 4,branch_branch 5,branch_branch 6,branch_branch 7,default_status,log_income,log_vehical_value,log_loan_amount
1,2002,35.0,0,0,0,72,0.8,36.2395845663557,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,6.866933284461882,8.699514748210191,8.476371196895983
0,2005,38.0,1,0,0,72,0.792682926829268,36.5497421488447,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.272398392570047,8.971067438732089,8.738735461363474
1,1999,28.0,0,1,0,90,0.631578947368421,36.9276260915394,3.374,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6.866933284461882,9.118225083068378,8.658692753689937
1,2011,25.0,0,0,0,54,0.75,36.6953869422413,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7.305188215393037,9.862665558015873,9.574983485564092
1,1994,53.0,0,0,0,9,0.269230769230769,47.4970339577036,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,8.738735461363474,7.426549072397305
1,1999,40.0,0,0,0,36,0.571428571428571,38.6818369713835,3.374,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.560080465021827,8.11969625295725,7.560080465021827
1,1998,43.0,0,1,0,18,0.28125,39.6679982704884,2.6710832771,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7.272398392570047,8.946374826141717,7.67786350067821
1,2000,33.0,0,0,0,36,0.8,36.0575083225756,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.866933284461882,8.881836305004146,8.658692753689937
0,1996,33.0,0,0,0,54,0.555555555555556,36.4962762199259,3.374,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6.866933284461882,9.064157861798101,8.476371196895983
0,2006,25.0,0,0,0,36,0.64,38.8258762529632,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,8.699514748210191,8.253227645581772
1,2006,27.0,0,0,0,90,0.714285714285714,34.7543369528358,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,9.21830854162536,8.881836305004146
1,1998,41.0,0,0,0,72,0.857142857142857,36.3872727136722,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5.817111159963204,8.812843433517195,8.658692753689937
1,1999,31.0,0,0,0,54,0.471698113207547,36.661215103888,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6.866933284461882,8.534640105019959,7.783224016336037
1,2003,29.0,0,0,1,54,0.790960451977401,36.6551189029627,3.374,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.962243464266207,9.04735074348172,8.812843433517195
1,2001,35.0,0,0,1,54,0.65,36.2535821007896,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.579251212010101,9.169518377455928,8.738735461363474
0,1995,49.0,0,0,0,36,0.666666666666667,37.9643289888074,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,7.965545573129992,7.560080465021827
1,1996,42.0,0,0,1,36,0.714285714285714,38.3352771118305,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5.817111159963204,8.812843433517195,8.476371196895983
1,2000,38.0,0,0,0,36,0.5,39.3608482985015,3.374,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,8.658692753689937,7.965545573129992
1,2006,40.0,0,0,0,90,0.5,36.1455799223165,3.374,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,9.574983485564092,8.881836305004146
1,2000,28.0,0,0,0,54,0.733333333333333,36.1744336166354,3.374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7.090076835776092,8.881836305004146,8.571681376700306
1,1996,32.0,0,0,0,54,0.714285714285714,35.9860088932347,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.560080465021827,8.812843433517195,8.476371196895983
1,2005,25.0,0,0,0,54,0.611111111111111,35.9712603645851,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.436150368369428,9.064157861798101,8.571681376700306
1,2002,35.0,0,0,1,72,0.795454545454545,35.592976254444,3.374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,9.264828557260252,9.035986984831405
1,2005,43.0,0,0,0,90,0.5,35.1136381897955,3.374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.426549072397305,9.574983485564092,8.881836305004146
